,Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
173,RDP,0.86,0.4066390041493776,-0.1489581596932823,0.04347826086956521
174,OS,0.87,0.970954356846473,0.9330050434851673,0.8089482229839438
175,RDP,0.87,0.4066390041493776,-0.1489581596932823,0.04347826086956521
176,OS,0.88,0.979253112033195,0.9524598571823095,0.8224788020927295
177,RDP,0.88,0.4066390041493776,-0.1489581596932823,0.04347826086956521
178,OS,0.89,0.983402489626556,0.9618429385687144,0.8396175356305249
179,RDP,0.89,0.4066390041493776,-0.1489581596932823,0.04347826086956521
180,OS,0.9,0.983402489626556,0.9618429385687144,0.8520656684106079
181,RDP,0.9,0.4066390041493776,-0.1489581596932823,0.04347826086956521
182,OS,0.91,0.991701244813278,0.9810460086511994,0.8668591015695472
183,RDP,0.91,0.4066390041493776,-0.1489581596932823,0.04347826086956521
184,OS,0.92,0.991701244813278,0.9810460086511994,0.8827349810571893
185,RDP,0.92,0.4066390041493776,-0.1489581596932823,0.04347826086956521
186,OS,0.93,0.995850622406639,0.9905538352996511,0.9005953454807866
187,RDP,0.93,0.4066390041493776,-0.1489581596932823,0.04347826086956521
188,OS,0.9400000000000001,0.995850622406639,0.9905538352996511,0.913584701425221
189,RDP,0.9400000000000001,0.4066390041493776,-0.1489581596932823,0.04347826086956521
190,OS,0.9500000000000001,0.995850622406639,0.9905538352996511,0.9301822117986649
191,RDP,0.9500000000000001,0.4066390041493776,-0.1489581596932823,0.04347826086956521
192,OS,0.96,1.0,1.0,0.941908713692946
193,RDP,0.96,0.4066390041493776,-0.1489581596932823,0.04347826086956521
194,OS,0.97,1.0,1.0,0.9590474472307414
195,RDP,0.97,0.4066390041493776,-0.1489581596932823,0.04347826086956521
196,OS,0.98,0.995850622406639,0.9905538352996511,0.9747429189969332
197,RDP,0.98,0.4066390041493776,-0.1489581596932823,0.04347826086956521
198,OS,0.99,1.0,1.0,0.9884539058271695
199,RDP,0.99,0.4066390041493776,-0.1489581596932823,0.04347826086956521
