dataset,model,simp_algorithm,performance,"knee(x,y)",time
UMDTEST_normalized,logistic-regression_norm.pkl,BU,0.957457923578704,"(0.043221476510067115, 0.959951942330797)",0.5720465
UMDTEST_normalized,logistic-regression_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
UMDTEST_normalized,knn_norm.pkl,OS,0.701641518015552,"(0.06422818791946311, 0.9795417348608838)",159.7477482
UMDTEST_normalized,knn_norm.pkl,RDP,0.94344871077578,"(0.05295302013422819, 0.9589659417316373)",0.8155905
UMDTEST_normalized,knn_norm.pkl,VW,0.936326658717173,"(0.06711409395973157, 0.9795417348608838)",0.0275919
UMDTEST_normalized,knn_norm.pkl,BU,0.9019232984514,"(0.043221476510067115, 0.8542880932556203)",0.5742726
UMDTEST_normalized,knn_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
ECG5000TEST_normalized,decision-tree_norm.pkl,OS,0.7743900646066,"(0.27438848920863307, 1.0)",130.4559918
ECG5000TEST_normalized,decision-tree_norm.pkl,RDP,0.815318088342523,"(0.043237410071942435, 0.6670366259711431)",0.7875401
ECG5000TEST_normalized,decision-tree_norm.pkl,VW,0.807371591923743,"(0.09402877697841724, 0.7957099080694586)",0.0259878
ECG5000TEST_normalized,decision-tree_norm.pkl,BU,0.742545427304253,"(0.05129496402877696, 0.5212765957446809)",0.5410733
ECG5000TEST_normalized,decision-tree_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
ECG5000TEST_normalized,logistic-regression_norm.pkl,OS,0.801151079136691,"(0.09510791366906476, 1.0)",130.3960519
ECG5000TEST_normalized,logistic-regression_norm.pkl,RDP,0.478345323741007,"(0.9999280575539568, 1.0)",0.7754096
ECG5000TEST_normalized,logistic-regression_norm.pkl,VW,0.912697841726619,"(0.09402877697841724, 1.0)",0.025966
ECG5000TEST_normalized,logistic-regression_norm.pkl,BU,0.47794964028777,"(1.007194244604317, 1.0)",0.540004
ECG5000TEST_normalized,logistic-regression_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
ECG5000TEST_normalized,knn_norm.pkl,OS,0.772078254908502,"(0.17223021582733822, 0.9192245557350566)",130.361181
ECG5000TEST_normalized,knn_norm.pkl,RDP,0.880924882691624,"(0.043237410071942435, 0.797077922077922)",0.7953568
ECG5000TEST_normalized,knn_norm.pkl,VW,0.895937816618373,"(0.12798561151079135, 0.9196141479099679)",0.0262688
ECG5000TEST_normalized,knn_norm.pkl,BU,0.708303669319813,"(0.05129496402877696, 0.4556765163297045)",0.5480662
ECG5000TEST_normalized,knn_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
TwoLeadECGTEST_normalized,decision-tree_norm.pkl,OS,0.729831171553823,"(0.2722222222222222, 0.9279538904899135)",27.6520462
TwoLeadECGTEST_normalized,decision-tree_norm.pkl,RDP,0.637439687393816,"(0.07308641975308644, 0.42660550458715596)",0.4260893
TwoLeadECGTEST_normalized,decision-tree_norm.pkl,VW,0.847747602112965,"(0.12654320987654322, 0.9177631578947368)",0.0161471
TwoLeadECGTEST_normalized,decision-tree_norm.pkl,BU,0.887484344062291,"(0.0614814814814815, 0.8230088495575221)",0.2916919
TwoLeadECGTEST_normalized,decision-tree_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
TwoLeadECGTEST_normalized,logistic-regression_norm.pkl,OS,0.725640800084883,"(0.22308641975308643, 1.0)",27.6480923
TwoLeadECGTEST_normalized,logistic-regression_norm.pkl,RDP,0.712245817689529,"(0.05098765432098766, 0.5931651749389748)",0.4263029
TwoLeadECGTEST_normalized,logistic-regression_norm.pkl,VW,0.881072853524466,"(0.12654320987654322, 0.9357326478149101)",0.0162215
TwoLeadECGTEST_normalized,logistic-regression_norm.pkl,BU,0.711201474813457,"(0.05135802469135803, 0.537037037037037)",0.2920553
TwoLeadECGTEST_normalized,logistic-regression_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
TwoLeadECGTEST_normalized,knn_norm.pkl,OS,0.734485407713054,"(0.18938271604938264, 1.0)",27.5851673
TwoLeadECGTEST_normalized,knn_norm.pkl,RDP,0.746410463635815,"(0.07308641975308644, 0.6511627906976745)",0.4323692
TwoLeadECGTEST_normalized,knn_norm.pkl,VW,0.764389474825192,"(0.10308641975308641, 1.0)",0.0170419999999999
TwoLeadECGTEST_normalized,knn_norm.pkl,BU,0.889033241792781,"(0.0651851851851852, 0.8520710059171598)",0.2918854
TwoLeadECGTEST_normalized,knn_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
GunPointAgeSpanTEST_normalized,decision-tree_norm.pkl,OS,0.375711679773169,"(0.07926174496644295, 0.9693251533742331)",158.9379515
GunPointAgeSpanTEST_normalized,decision-tree_norm.pkl,RDP,0.744234503761399,"(0.030067114093959738, 0.5340710541642399)",0.65094
GunPointAgeSpanTEST_normalized,decision-tree_norm.pkl,VW,0.94088025669866,"(0.0893288590604027, 0.9693251533742331)",0.0273734
GunPointAgeSpanTEST_normalized,decision-tree_norm.pkl,BU,0.886239850430039,"(0.038993288590604025, 0.8059866962305986)",0.5757172
GunPointAgeSpanTEST_normalized,decision-tree_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
GunPointAgeSpanTEST_normalized,logistic-regression_norm.pkl,OS,0.391205018451435,"(0.07926174496644295, 1.0)",158.8113169
GunPointAgeSpanTEST_normalized,logistic-regression_norm.pkl,RDP,0.572904387116043,"(0.030067114093959738, 0.17721518987341778)",0.691266
GunPointAgeSpanTEST_normalized,logistic-regression_norm.pkl,VW,0.959731543624161,"(1.0, 1.0)",0.0566253
GunPointAgeSpanTEST_normalized,logistic-regression_norm.pkl,BU,0.976298815866382,"(0.038993288590604025, 1.0)",0.607595
GunPointAgeSpanTEST_normalized,logistic-regression_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
GunPointAgeSpanTEST_normalized,knn_norm.pkl,OS,0.380431341883948,"(0.07926174496644295, 0.9796582587469488)",158.9907229
GunPointAgeSpanTEST_normalized,knn_norm.pkl,RDP,0.894693779649846,"(0.030067114093959738, 0.8407643312101911)",0.6467586
GunPointAgeSpanTEST_normalized,knn_norm.pkl,VW,0.938695436233889,"(0.058859060402684564, 0.9594155844155844)",0.0297252
GunPointAgeSpanTEST_normalized,knn_norm.pkl,BU,0.917321543309423,"(0.038993288590604025, 0.859663191659984)",0.5744021
GunPointAgeSpanTEST_normalized,knn_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
